Old Equipment ID (still in sheet),Cells found,Category,Canonical/New ID,Note
322.MD.152,30,ADD (mirror twin),322.MD152,"Master DB has no vib points for 322.MD152 (and it is in EQUIPMENT_MASTER as ""Main drive""), but its apparent Line-twin 321.MD152 does, described as ""Main drive"". Likely just missing from the master DB for this line — could mirror 321.MD152's points under 322.MD152 if you confirm it's the same equipment type."
212.HC.100,23,ADD (mirror twin),212.HC100,"Master DB has no vib points for 212.HC100 (and it isn't in EQUIPMENT_MASTER either), but its apparent Line-twin 213.HC100 does, described as ""Hammer crusher"". Likely just missing from the master DB for this line — could mirror 213.HC100's points under 212.HC100 if you confirm it's the same equipment type."
332.CP.280,18,ADD (mirror twin),332.CP280,"Master DB has no vib points for 332.CP280 (and it is in EQUIPMENT_MASTER as ""Compressor""), but its apparent Line-twin 331.CP280 does, described as ""Compressor"". Likely just missing from the master DB for this line — could mirror 331.CP280's points under 332.CP280 if you confirm it's the same equipment type."
321.MD.152,18,EDIT,321.MD152,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
111.HC.100,17,EDIT,111.HC100,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
341.BE.040,15,EDIT,341.BE040,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
342.BE.041,15,EDIT,342.BE041,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
352.BE.341,15,EDIT,352.BE341,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
612.BL.300,14,EDIT,612.BL300,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
614.BL.300,14,EDIT,614.BL300,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
342.BE.050,14,EDIT,342.BE050,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
342.BE.051,14,EDIT,342.BE051,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
352.BE.340,14,EDIT,352.BE340,Already in migration map — just needs the migration (re-)applied to whichever sheet this row is in (likely SPM DATA / Last Reading / Compliance Tracker).
